Gmt time,Open,High,Low,Close,Volume
12.02.2017 22:00:00.000,1.30826,1.30970,1.30806,1.30892,3911860107.4219
12.02.2017 23:00:00.000,1.30893,1.31202,1.30893,1.31179,3261540039.0625
13.02.2017 00:00:00.000,1.31179,1.31209,1.31057,1.31081,6981240234.375
13.02.2017 01:00:00.000,1.31080,1.31106,1.30984,1.30995,6119149902.3438
13.02.2017 02:00:00.000,1.30994,1.31003,1.30878,1.30996,3839030029.2969
13.02.2017 03:00:00.000,1.30998,1.31072,1.30964,1.31039,3458399902.3438
13.02.2017 04:00:00.000,1.31039,1.31041,1.30921,1.30929,2740310058.5938
13.02.2017 05:00:00.000,1.30933,1.30989,1.30887,1.30897,4162089843.75
13.02.2017 06:00:00.000,1.30896,1.30968,1.30851,1.30877,4989470214.8438
13.02.2017 07:00:00.000,1.30874,1.30927,1.30799,1.30812,6647000000
